GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Latvia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	5	10	15	14	14	20	31	43	48	34
Lithuania,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	12	16	21	11	15	9	14	11	10	25
Luxembourg,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	4	2	6	5	2	1	3	:	1	4
Hungary,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	18	21	5	2	3	4	2	5	33	30
Malta,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	3	5	4	1	3	1	2	8	5	:
Netherlands,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	71	58	55	53	45	59	40	59	46	55
Austria,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	50	236	323	302	336	252	232	277	294	280
Poland,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	230	219	250	222	228	244	234	260	222	242
Portugal,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	78	102	141	90	106	94	137	91	118	116
Romania,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	58	49	65	57	67	49	51	49	50	46
Slovenia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	7	8	10	3	16	10	11	12	4	8
Slovakia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	11	15	20	14	14	15	17	10	9	20
Finland,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	21	13	11	16	12	6	16	11	17	4
Sweden,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	37	57	51	48	67	58	69	62	77	55
United Kingdom,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	205	189	232	218	221	231	249	244	282	253
Iceland,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	:	1	:	:	:	:	1	:	:	:
Norway,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	15	10	13	17	14	8	14	24	20	14
Switzerland,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	93	94	105	92	75	74	73	78	70	83
North Macedonia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	10	8	4	9	2	7	10	5	7	1
Albania,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	5	1	3	4	:	:	:	:	:	3
European Union - 27 countries (from 2020),Number,Total,Total,Human immunodeficiency virus [HIV] disease	6,268 e	5,984 e	6,159	6,002 e	5,765 e	5,035	5,071	4,674	4,259	4,124 e
European Union - 28 countries (2013-2020),Number,Total,Total,Human immunodeficiency virus [HIV] disease	6,466 e	6,212 e	6,408	6,208 e	6,007 e	5,280	5,338	4,936	4,525	4,391 e
Belgium,Number,Total,Total,Human immunodeficiency virus [HIV] disease	:	:	55	69	59	49	49	53	43	58
Bulgaria,Number,Total,Total,Human immunodeficiency virus [HIV] disease	1	3	0	2	2	2	1	3	1	7
Czechia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	3	:	:	:	5	1	4	6	8	5
Denmark,Number,Total,Total,Human immunodeficiency virus [HIV] disease	34	36	43	40	39	27	33	22	30	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,Human immunodeficiency virus [HIV] disease	543	518	507	507	492	504	461	443	431	455
Estonia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	3	3	7	21	33	49	42	42	52	42
Ireland,Number,Total,Total,Human immunodeficiency virus [HIV] disease	10	11	17	15	8	7	15	14	13	14
Greece,Number,Total,Total,Human immunodeficiency virus [HIV] disease	17	29	20	16	27	22	19	14	17	18
Spain,Number,Total,Total,Human immunodeficiency virus [HIV] disease	1,632	1,611	1,632	1,551	1,450	1,313	1,307	1,211	1,079	1,020
France,Number,Total,Total,Human immunodeficiency virus [HIV] disease	1,140	1,092	1,044	1,018	917	886	794	698	563	500
France (metropolitan),Number,Total,Total,Human immunodeficiency virus [HIV] disease	1,016	998	950	928	827	809	728	646	511	452
Croatia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	5	7	2	3	3	8	1	4	8	11
Italy,Number,Total,Total,Human immunodeficiency virus [HIV] disease	952	933	1,268	:	:	964	1,022	937	899	852
Cyprus,Number,Total,Total,Human immunodeficiency virus [HIV] disease	:	:	:	1	3	2	4	:	:	2
Latvia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	7	5	11	16	26	29	42	60	67	58
Lithuania,Number,Total,Total,Human immunodeficiency virus [HIV] disease	5	5	7	7	3	6	11	14	13	18
Luxembourg,Number,Total,Total,Human immunodeficiency virus [HIV] disease	1	4	3	3	1	5	4	4	1	1
Hungary,Number,Total,Total,Human immunodeficiency virus [HIV] disease	9	8	8	12	6	5	9	4	9	10
Malta,Number,Total,Total,Human immunodeficiency virus [HIV] disease	:	2	1	2	1	5	1	:	:	1
Netherlands,Number,Total,Total,Human immunodeficiency virus [HIV] disease	128	89	87	85	80	48	66	53	70	50
Austria,Number,Total,Total,Human immunodeficiency virus [HIV] disease	50	51	49	54	71	43	62	46	39	44
Poland,Number,Total,Total,Human immunodeficiency virus [HIV] disease	100	122	120	124	121	101	123	149	94	135
Portugal,Number,Total,Total,Human immunodeficiency virus [HIV] disease	1,026	999	976	904	876	719	790	717	664	642
Romania,Number,Total,Total,Human immunodeficiency virus [HIV] disease	494	365	264	251	231	205	169	149	123	131
Slovenia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	8	3	1	2	3	:	3	5	1	:
Slovakia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	3	1	:	3	:	2	1	1	3	2
Finland,Number,Total,Total,Human immunodeficiency virus [HIV] disease	3	7	8	8	9	9	11	7	3	7
Sweden,Number,Total,Total,Human immunodeficiency virus [HIV] disease	35	27	29	20	31	24	27	18	28	11
United Kingdom,Number,Total,Total,Human immunodeficiency virus [HIV] disease	198	228	249	206	242	245	267	262	266	267
Iceland,Number,Total,Total,Human immunodeficiency virus [HIV] disease	2	:	:	1	:	3	:	:	1	:
Norway,Number,Total,Total,Human immunodeficiency virus [HIV] disease	11	12	16	23	24	15	9	12	19	10
Switzerland,Number,Total,Total,Human immunodeficiency virus [HIV] disease	124	101	92	83	75	77	60	48	51	42
North Macedonia,Number,Total,Total,Human immunodeficiency virus [HIV] disease	2	:	:	:	:	3	1	2	:	:
Albania,Number,Total,Total,Human immunodeficiency virus [HIV] disease	:	:	1	2	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	25,643 e	24,103 e	23,148	22,814 e	21,698 e	20,809	20,217	19,755	19,344	18,487 e
European Union - 28 countries (2013-2020),Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	29,334 e	27,641 e	26,834	26,473 e	25,358 e	24,546	23,957	23,500	23,021	21,991 e
Belgium,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	:	:	493	459	470	494	508	487	442	465
Bulgaria,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	982	887	831	814	739	720	690	668	729	708
Czechia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	360	385	365	366	347	352	360	338	341	313
Denmark,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	303	271	276	272	285	221	255	262	197	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	3,165	3,039	2,990	2,918	2,696	2,579	2,656	2,414	2,334	2,322
Estonia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	111	74	91	90	78	66	79	0	0	51
Ireland,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	331	305	326	287	236	255	230	284	247	282
Greece,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	522	530	420	429	408	413	395	314	371	436
Spain,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	1,657	1,737	1,733	1,813	1,765	1,704	1,704	1,741	1,609	1,553
France,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	3,709	3,336	3,305	3,219	3,054	3,125	3,029	3,095	3,053	3,062
France (metropolitan),Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	3,432	3,114	3,054	2,984	2,769	2,847	2,775	2,804	2,779	2,737
Croatia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	315	282	251	245	242	215	234	195	235	192
Italy,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	2,482	2,337	2,134	:	:	2,031	1,959	1,997	2,046	1,863
Cyprus,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	41	37	33	0	39	0	0	0	0	0
Latvia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	217	197	198	191	168	170	204	161	168	110
Lithuania,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	250	238	206	240	209	213	190	172	181	153
Luxembourg,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	789	693	690	628	607	571	577	553	495	481
Malta,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	1,088	1,014	962	852	928	820	736	698	711	695
Austria,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	365	318	343	353	327	281	280	287	289	307
Poland,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	2,823	2,662	2,471	2,423	2,340	2,238	2,322	2,337	2,327	2,057
Portugal,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	571	580	471	427	386	352	356	346	363	260
Romania,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	4,057	3,648	3,545	3,641	3,310	3,052	2,574	2,434	2,250	2,082
Slovenia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	74	67	69	66	0	0	55	0	0	0
Slovakia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	319	388	406	365	392	355	334	336	346	344
Finland,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	181	165	182	193	179	168	159	159	160	138
Sweden,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	335	314	309	319	248	298	270	272	278	294
United Kingdom,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	3,691	3,538	3,686	3,659	3,660	3,737	3,740	3,745	3,677	3,504
Iceland,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	230	186	197	187	174	0	185	163	196	157
Switzerland,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	363	326	311	309	308	325	293	308	337	307
North Macedonia,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	321	250	305	308	287	260	234	223	278	185
Albania,Number,Total,Less than 1 year,All causes of death (A00-Y89) excluding S00-T98	603	466	394	335	:	:	:	:	:	162
European Union - 27 countries (from 2020),Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	577 e	588 e	536	483 e	399 e	395	357	349	327	333 e
European Union - 28 countries (2013-2020),Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	679 e	656 e	610	554 e	475 e	469	440	437	398	401 e
Belgium,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	:	:	8	11	10	9	13	8	9	11
Bulgaria,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	43	46	45	46	23	28	28	24	22	32
