GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
European Union - 27 countries (from 2020),Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	2,303 e	2,223 e	2,119	1,973 e	1,923 e	1,837	1,760	1,723	1,690	1,712 e
European Union - 28 countries (2013-2020),Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	2,602 e	2,503 e	2,428	2,252 e	2,179 e	2,140	2,026	2,019	1,963	1,967 e
Belgium,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	:	:	61	42	48	44	42	38	47	40
Bulgaria,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	82	74	75	87	58	56	63	60	68	51
Czechia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	39	40	40	35	35	34	34	32	35	37
Denmark,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	34	33	25	34	21	15	23	12	28	:
Germany (until 1990 former territory of the FRG),Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	345	356	299	290	264	226	248	252	216	221
Estonia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	15	6	12	9	14	8	6	0	0	9
Ireland,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	33	29	23	18	26	18	23	22	26	18
Greece,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	31	33	35	40	42	37	32	38	37	35
Spain,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	151	174	197	175	157	160	181	163	173	166
France,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	359	325	345	271	295	294	269	290	262	277
France (metropolitan),Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	338	298	321	250	269	271	249	268	246	240
Croatia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	22	21	17	12	14	17	13	19	13	17
Italy,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	198	194	181	:	:	171	164	163	142	163
Cyprus,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	4	11	6	0	7	0	0	0	0	0
Latvia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	19	27	28	13	14	13	11	9	14	18
Lithuania,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	37	27	25	22	16	26	15	17	14	16
Luxembourg,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	45	60	53	44	50	58	48	41	40	39
Malta,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	84	94	83	84	94	72	62	69	60	61
Austria,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	35	24	42	20	34	28	24	26	34	27
Poland,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	213	197	154	158	175	174	154	169	157	154
Portugal,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	67	71	59	57	32	51	39	33	39	37
Romania,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	348	301	261	263	243	246	200	187	180	194
Slovenia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	4	7	5	5	0	0	8	0	0	0
Slovakia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	35	36	51	42	33	28	36	26	39	33
Finland,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	17	13	14	23	19	15	20	16	13	18
Sweden,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	34	23	26	40	37	36	39	29	33	30
United Kingdom,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	299	280	309	279	256	303	266	296	273	255
Iceland,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	18	33	31	19	15	0	19	18	17	17
Switzerland,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	38	31	26	36	20	23	25	14	23	17
North Macedonia,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	23	25	17	20	14	13	16	10	16	11
Albania,Number,Females,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	117	123	134	105	:	:	:	:	:	34
European Union - 27 countries (from 2020),Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	145 e	124 e	127	132 e	116 e	109	100	100	109	87 e
European Union - 28 countries (2013-2020),Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	164 e	142 e	151	161 e	140 e	134	133	124	135	106 e
Belgium,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	:	:	9	8	4	3	4	3	3	3
Bulgaria,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	7	2	5	7	7	4	6	2	7	0
Czechia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	2	0	5	0	0	1	1	3	3
Denmark,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	0	1	3	0	2	3	3	1	:
Germany (until 1990 former territory of the FRG),Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	20	19	19	16	14	17	13	11	15	17
Estonia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	0	0	0	1	0	0	0
Ireland,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	3	0	2	1	2	2	3	3	0
Greece,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	1	0	0	1	1	1	2
Spain,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	9	14	20	9	13	12	16	6	16	9
France,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	21	19	21	24	17	19	11	24	16	16
France (metropolitan),Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	19	16	19	22	17	17	8	19	13	13
Croatia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	1	0	0	1	1	0	3	2	0
Italy,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	9	6	13	:	:	7	11	10	6	8
Cyprus,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	1	0	0	0	0	0
Latvia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	3	1	1	2	0	1	0	0	2
Lithuania,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	1	1	0	0	3	0	1	0	2
Luxembourg,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	2	0	4	3	0	1	3	3	0
Malta,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	15	10	6	7	8	4	4	5	4	4
Austria,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	5	1	2	1	1	2	1	4
Poland,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	13	14	8	8	8	12	12	13	13	5
Portugal,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	9	5	4	3	3	3	1	1	1	0
Romania,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	19	14	11	15	12	14	6	5	6	7
Slovenia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	1	0	0	0	0	0	0
Slovakia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	3	1	0	2	1	1	2	4	1
Finland,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	0	2	1	1	3	2	1	1	1
Sweden,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	3	2	1	1	0	0	2
United Kingdom,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	19	18	24	29	24	25	33	24	26	19
Iceland,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	2	0	1	0	0	2	1	1	0
Switzerland,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	6	2	2	0	1	1	1	1	3	0
North Macedonia,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	1	3	3	0	0	2	1	1	2
Albania,Number,Females,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	4	5	2	3	:	:	:	:	:	1
European Union - 27 countries (from 2020),Number,Females,From 1 to 4 years,Tuberculosis	3 e	2 e	7	3 e	7 e	6	1	2	2	3 e
European Union - 28 countries (2013-2020),Number,Females,From 1 to 4 years,Tuberculosis	3 e	2 e	7	4 e	8 e	6	1	3	3	3 e
Belgium,Number,Females,From 1 to 4 years,Tuberculosis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Females,From 1 to 4 years,Tuberculosis	0	0	1	0	0	0	0	0	0	0
Czechia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
Estonia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	2	0	0	0	0	1
France,Number,Females,From 1 to 4 years,Tuberculosis	0	0	1	0	0	0	0	0	0	0
France (metropolitan),Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Females,From 1 to 4 years,Tuberculosis	0	1	0	:	:	2	0	0	0	0
Cyprus,Number,Females,From 1 to 4 years,Tuberculosis	:	:	:	:	0	0	:	:	:	:
Latvia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	1
Lithuania,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Females,From 1 to 4 years,Tuberculosis	0	0	:	:	:	:	:	:	:	:
Hungary,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	1	0	0	1	0
Austria,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	1
Poland,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	1	0	0
Portugal,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Females,From 1 to 4 years,Tuberculosis	3	1	5	3	4	3	1	1	1	0
Slovenia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	1	1	0	0	1	1	0
Iceland,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
North Macedonia,Number,Females,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Females,From 1 to 4 years,Tuberculosis	0	1	0	1	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1 e	0 e	1	0 e	1 e	1	1	0	0	0 e
European Union - 28 countries (2013-2020),Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1 e	0 e	2	1 e	2 e	1	1	0	0	0 e
Belgium,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	:	1	0	1	0	0	0	0	0
Bulgaria,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	0	0	0	0
Czechia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Estonia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	0	:
Ireland,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
France (metropolitan),Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	0	0	0	0	0
Cyprus,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	0	:	:	:	:	0	0
Latvia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	:	0
Hungary,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	1	0	0	0
Romania,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovenia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	1	1	0	0	0	0	0
Iceland,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	0	:	:	:	:	:	:	:	:
Norway,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	0	0	0	0	0	0
Albania,Number,Females,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	0	0	:	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	5 e	3 e	1	0 e	1 e	1	0	0	0	0 e
European Union - 28 countries (2013-2020),Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	6 e	3 e	2	0 e	1 e	1	0	0	0	0 e
Belgium,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Czechia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	0	0	0	0	0	0
Denmark,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Estonia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	0	0	0
Ireland,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	2	0	0	0	1	0	0	0	0	0
France,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	1	0	0	0	0	0	0	0	0
France (metropolitan),Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	0	0	:	:	0	0	0	0	0
Italy,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	:	:	0	0	0	0	0
Cyprus,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	:	0	:	:	:	0
Latvia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	:	:	0	0	0
Luxembourg,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	:	0	0
Hungary,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	:	0	0	:	:	:
Malta,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Romania,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	2	1	0	0	1	0	0	0	0
Slovenia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	:	0	0	:	:
Slovakia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	:	:	0	:	:
Finland,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	:	0	0	:	0	0
Sweden,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	1	0	0	0	0	0	0	0
Iceland,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	:	:	:	:	:
Norway,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	:	0	0	0	:
Switzerland,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	:	0	:	0	:	:
Albania,Number,Females,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	1,400 e	1,426 e	1,288	1,216 e	1,286 e	1,109	1,107	1,021	1,086	1,002 e
European Union - 28 countries (2013-2020),Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	1,618 e	1,607 e	1,470	1,376 e	1,439 e	1,260	1,244	1,179	1,236	1,147 e
Belgium,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	:	:	22	26	36	25	24	24	31	18
Bulgaria,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	47	43	25	24	41	52	35	41	26	34
Czechia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	32	31	25	26	25	20	19	15	24	25
Denmark,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	21	10	15	13	9	13	10	11	13	:
Germany (until 1990 former territory of the FRG),Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	192	180	202	166	194	138	131	138	147	143
Estonia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	11	9	4	4	7	6	4	0	0	7
Ireland,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	16	11	10	15	10	9	9	9	13	15
Greece,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	32	32	22	24	33	20	25	15	30	24
Spain,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	103	122	100	88	104	77	99	92	94	80
France,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	176	208	189	160	165	163	176	163	169	149
France (metropolitan),Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	166	194	177	153	153	151	167	150	156	135
Croatia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	18	14	16	14	10	14	17	8	12	8
Italy,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	118	122	118	:	:	107	113	100	122	99
Cyprus,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	5	6	3	0	10	0	0	0	0	0
Latvia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	13	18	11	15	10	12	9	5	12	5
Lithuania,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	14	19	15	20	15	16	17	15	8	10
Luxembourg,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	36	36	45	35	33	16	30	29	26	19
Malta,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	41	47	54	41	31	47	44	36	42	38
Austria,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	21	16	13	27	23	17	12	17	17	20
Poland,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	172	167	143	125	154	122	99	94	110	87
Portugal,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	51	49	43	40	38	39	23	27	26	28
Romania,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	175	175	157	133	152	136	134	132	107	116
Slovenia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	4	6	7	4	0	0	6	0	0	0
Slovakia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	23	28	17	28	21	22	30	14	14	20
Finland,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	14	20	13	24	19	18	15	12	8	16
Sweden,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	27	20	17	44	16	13	21	11	19	19
United Kingdom,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	218	181	182	160	153	151	137	158	150	145
Iceland,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	14	15	13	24	8	0	13	12	14	14
Switzerland,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	17	21	15	24	16	18	15	12	18	12
North Macedonia,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	14	14	8	11	6	9	11	9	6	7
Albania,Number,Females,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	49	51	55	56	:	:	:	:	:	21
European Union - 27 countries (from 2020),Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	33 e	38 e	33	34 e	40 e	35	29	27	36	38 e
European Union - 28 countries (2013-2020),Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	43 e	46 e	46	43 e	47 e	43	39	35	46	42 e
Belgium,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	2	2	2	1	0	1	1	1
Bulgaria,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	2	0	1	0	1	1	1	1	1	1
Czechia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	1	0	0	1	1	1	1
Denmark,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	1	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	5	4	5	6	3	7	1	3	6
